layer,probe_acc,control_acc,selectivity
1,0.8571,0.4429,0.4143
2,0.8714,0.4857,0.3857
3,0.8857,0.4667,0.419
4,0.8857,0.4762,0.4095
5,0.8857,0.4619,0.4238
6,0.8857,0.4571,0.4286
7,0.8857,0.4714,0.4143
8,0.8571,0.4857,0.3714
9,0.8714,0.4571,0.4143
10,0.8714,0.4619,0.4095
11,0.8714,0.4286,0.4429
12,0.8714,0.4524,0.419
