layer,probe_acc,control_acc,selectivity
1,0.8571,0.4857,0.3714
2,0.8571,0.4952,0.3619
3,0.8571,0.481,0.3762
4,0.8571,0.4714,0.3857
5,0.8571,0.4333,0.4238
6,0.8571,0.4762,0.381
7,0.8571,0.5048,0.3524
8,0.8571,0.4905,0.3667
9,0.8571,0.4667,0.3905
10,0.8571,0.4714,0.3857
11,0.8571,0.4762,0.381
12,0.8571,0.4238,0.4333
