layer,probe_acc,control_acc,selectivity
1,0.9091,0.5758,0.3333
2,0.9273,0.6061,0.3212
3,1.0,0.5212,0.4788
4,0.9636,0.5576,0.4061
5,0.9455,0.503,0.4424
6,0.9455,0.5273,0.4182
7,0.9636,0.5152,0.4485
8,0.9455,0.503,0.4424
9,0.9455,0.497,0.4485
10,0.9636,0.5152,0.4485
11,0.9455,0.5212,0.4242
12,0.9455,0.5212,0.4242
