layer,probe_acc,control_acc,selectivity
1,0.9273,0.5697,0.3576
2,0.9818,0.5455,0.4364
3,0.9636,0.5455,0.4182
4,0.9636,0.5515,0.4121
5,0.9091,0.5455,0.3636
6,0.9091,0.5455,0.3636
7,0.9091,0.5576,0.3515
8,0.9273,0.5394,0.3879
9,0.9273,0.5152,0.4121
10,0.9273,0.5333,0.3939
11,0.9273,0.5636,0.3636
12,0.9091,0.5636,0.3455
